epsilon,epsilon_label,total_samples,clean_correct,adversarial_correct,clean_correct_samples,successful_attacks,clean_accuracy,adversarial_accuracy,accuracy_drop,attack_success_rate
0.0,0,10000,4639,4639,4639,0,0.4639,0.4639,0.0,0.0
0.00392156862745098,1/255,10000,4639,3020,4639,1619,0.4639,0.302,0.1619,0.3489976287993102
0.00784313725490196,2/255,10000,4639,1854,4639,2785,0.4639,0.1854,0.27849999999999997,0.600344901918517
0.01568627450980392,4/255,10000,4639,743,4639,3896,0.4639,0.0743,0.38959999999999995,0.8398361715887045
0.03137254901960784,8/255,10000,4639,99,4639,4540,0.4639,0.0099,0.45399999999999996,0.9786591937917655
0.047058823529411764,12/255,10000,4639,17,4639,4622,0.4639,0.0017,0.4622,0.9963354171157577
0.06274509803921569,16/255,10000,4639,4,4639,4635,0.4639,0.0004,0.46349999999999997,0.9991377452037077
